Title,Studio,Country code,UPC,EAN,Release date,Slipcover,Casing,Memorabilia,Blu-ray discs,DVD discs,Digital copy,Date added,Watched,Comment,Retailer,Price,Price comment
"Blue Thunder","Via Vision Entertainment",AU,,9337369009797,October 5 2016,0,Standard Blu-ray case,0,1,0,0,,0,,,,
"Blue Velvet","20th Century Fox",AU,,9321337135236,January 25 2012,0,Standard Blu-ray case,0,1,0,0,,0,,,,
"Bob & Carol & Ted & Alice","Arrow",UK,,5027035020082,December 10 2018,0,Standard Blu-ray case,0,1,0,0,,0,,,,
"Body Double","Umbrella Entertainment",AU,,9344256009563,July 9 2014,0,Standard Blu-ray case,0,1,0,0,,0,,,,
"Body Melt","Umbrella Entertainment",AU,,9344256014673,December 7 2016,1,Standard Blu-ray case,0,1,0,0,April 25 2018,0,,,,
"Body Parts","Imprint",AU,,9337369028040,December 8 2021,0,Standard Blu-ray case,0,1,0,0,,0,,,,
"Body Puzzle","88 Films",UK,,5060103797554,June 12 2017,1,Standard Blu-ray case,1,1,0,0,,0,,,,
"The Bogey Man","88 Films",UK,,5037899048245,March 23 2015,0,Standard Blu-ray case,0,1,0,0,,0,,,,
"Bone Tomahawk","Universal Sony Pictures Home Entertainment",AU,,9317731120794,January 21 2016,0,Standard Blu-ray case,0,1,0,0,,0,,,,
"The Boogens","Olive Films",US,887090045803,0887090045803,August 7 2012,1,Standard Blu-ray case,0,1,0,0,,0,,,,
"Das Boot","Sony Pictures",AU,,9317731086564,November 2 2011,0,Standard Blu-ray case,0,2,-1,-1,,0,,,,
"Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan","20th Century Fox",AU,,9321337115559,February 24 2010,0,Standard Blu-ray case,0,1,0,0,,0,,,,
"Born for Hell","Severin Films",US,760137584384,0760137584384,July 20 2021,0,Standard Blu-ray case,0,1,0,0,,0,,,,
"Born of Fire","Powerhouse Films",UK,,5037899071779,September 24 2018,0,Standard Blu-ray case,1,1,0,0,,0,,,,
"The Boston Strangler","Shock",AU,,9345228001387,July 3 2013,0,Standard Blu-ray case,0,1,0,0,,0,,,,
"The Boy Who Cried Werewolf","Shout Factory",US,826663166200,0826663166200,July 26 2016,0,Standard Blu-ray case,0,1,0,0,,0,,,,
"The Boys from Brazil","Beyond Home Entertainment",AU,,9318500034052,December 8 2009,0,Standard Blu-ray case,0,1,0,0,,0,,,,
"Brain Damage","Arrow",UK,,5027035016795,May 8 2017,1,Standard Blu-ray case,0,1,1,0,,0,,,,
"The Brain That Wouldn't Die","Shout Factory",US,826663163575,0826663163575,December 22 2015,0,Standard Blu-ray case,0,1,-1,0,,0,,,,
"Bram Stoker's Dracula 4K","Universal Sony Pictures Home Entertainment",AU,,9317731137372,October 25 2017,0,Standard Blu-ray case,0,2,0,0,,0,,,,
"Brawl in Cell Block 99 4K","RLJ Entertainment",US,014381102734,0014381102734,December 26 2017,1,Standard Blu-ray case,0,2,0,0,,0,,,,
"Bride of Re-Animator / Beyond Re-Animator","Umbrella Entertainment",AU,,9344256017391,June 6 2018,1,Standard Blu-ray case,0,2,0,0,,0,,,,
"The Brides of Dracula","Shock",AU,,9345228003015,July 3 2015,0,Standard Blu-ray case,0,1,0,0,April 25 2018,0,,,,
"Bring Me the Head of Alfredo Garcia","Arrow",UK,,5027035015767,January 23 2017,1,Standard Blu-ray case,0,2,0,0,,0,,,,
"The Brood","Umbrella Entertainment",AU,,9344256006302,March 6 2013,0,Standard Blu-ray case,0,1,0,0,April 25 2018,0,,,,
"Bubba Ho-Tep","Shout Factory",US,826663171488,0826663171488,November 8 2016,1,Standard Blu-ray case,0,1,0,0,,0,,,,
"Burial Ground","88 Films",UK,,5037899048160,March 28 2016,0,Standard Blu-ray case,0,1,0,0,,0,,,,
"Buried Alive","Kino Lorber",US,738329250744,0738329250744,January 12 2021,1,Standard Blu-ray case,0,1,0,0,,0,,,,
"The Burning","Shock",AU,,9345228001486,November 20 2013,1,Standard Blu-ray case,0,1,0,0,April 25 2018,0,,,,
"Burnt Offerings","Arrow",UK,,5027035015446,October 17 2016,0,Standard Blu-ray case,0,1,1,0,,0,,,,
"Burst City","Arrow",UK,,5027035022406,November 9 2020,0,Standard Blu-ray case,0,1,0,0,,0,,,,
"Butcher, Baker, Nightmare Maker","Code Red",US,,,July 18 2017,0,Standard Blu-ray case,0,1,0,0,,0,,,,
"C.H.U.D.","Arrow",US,760137953883,0760137953883,November 22 2016,0,Standard Blu-ray case,0,2,0,0,,0,,,,
"Camera Obscura: The Walerian Borowczyk Collection","Arrow",UK,,5027035022550,October 12 2020,-1,Standard Blu-ray case,-1,5,0,-1,,0,,,,
"Candyman","Arrow",UK,,5027035019895,October 29 2018,0,Standard Blu-ray case,1,2,0,0,,0,,,,
"Candyman 4K","Arrow",UK,,5027035023496,May 23 2022,0,Standard Blu-ray case,1,1,0,0,,0,,,,
"Cannibal Ferox","Grindhouse Releasing",US,797679001321,0797679001321,May 26 2015,0,Standard Blu-ray case,0,2,0,0,,0,,,,
"Cannibal Holocaust","Siren Visual Entertainment",AU,,9330080009039,July 9 2014,1,Standard DVD case,0,2,0,0,April 25 2018,0,,,,
"The Cannibal Man","Severin Films",US,760137602385,0760137602385,August 24 2021,1,Standard Blu-ray case,0,1,0,0,,0,,,,
"Cape Fear","Universal Studios",AU,,5050582867022,November 30 2011,0,Standard Blu-ray case,0,1,0,0,,0,,,,
"Captain Kronos: Vampire Hunter","Shock",AU,,5021456196371,October 2 2013,0,Standard Blu-ray case,0,1,1,0,April 25 2018,0,,,,
"Carlito's Way","Universal Studios",AU,,5050582781380,August 4 2010,0,Standard Blu-ray case,0,1,0,0,,0,,,,
"Carnival of Souls","Criterion",US,715515181310,0715515181310,July 12 2016,0,Standard Blu-ray case,0,1,0,0,,0,,,,
"Carrie","20th Century Fox",AU,,9321337146393,October 2 2013,0,Standard Blu-ray case,0,1,0,0,,0,,,,
"Casablanca","Warner Bros.",AU,,9325336045152,March 4 2009,0,Standard Blu-ray case,0,1,0,0,,0,,,,
"Casino","Universal Studios",AU,,5050582589436,November 5 2008,0,Standard Blu-ray case,0,1,0,0,,0,,,,
"Castle Freak","88 Films",UK,,5037899047248,July 15 2013,0,Standard Blu-ray case,0,1,0,0,,0,,,,
"Cat People","Shock",AU,,5021456218424,December 5 2018,0,Standard Blu-ray case,0,1,0,0,,0,,,,
"Cat's Eye","Umbrella Entertainment",AU,,9344256016615,October 4 2017,0,Standard Blu-ray case,0,1,0,0,,0,,,,
"Céline and Julie Go Boating","BFI Video",UK,,5035673012901,November 20 2017,0,Standard Blu-ray case,0,1,0,0,,0,,,,
"The Centerfold Girls","Glass Doll Films",AU,,9341005006224,July 22 2015,0,Standard Blu-ray case,0,1,0,0,,0,,,,
"Child's Play","Umbrella Entertainment",AU,,9344256005886,December 5 2012,0,Standard Blu-ray case,0,1,0,0,April 25 2018,0,,,,
"The Children","Vinegar Syndrome",US,814456021898,0814456021898,November 23 2018,1,Standard Blu-ray case,0,1,1,0,,0,,,,
"Children of the Corn","88 Films",UK,,5060103796908,February 8 2016,1,Standard Blu-ray case,0,1,0,0,,0,,,,
