Title,Studio,Country code,UPC,EAN,Release date,Slipcover,Casing,Memorabilia,Blu-ray discs,DVD discs,Digital copy,Date added,Watched,Comment,Retailer,Price,Price comment
"The Howling","Universal Studios",AU,,5050582770131,June 2 2010,0,Standard Blu-ray case,0,1,0,0,,0,,,,
"Howling III: The Marsupials","Umbrella Entertainment",AU,,9344256018671,March 6 2019,0,Standard Blu-ray case,0,1,0,0,,0,,,,
"Human Lanterns","88 Films",UK,,5060710970791,May 16 2022,0,Standard Blu-ray case,0,-1,-1,0,,0,,,,
"Humanoids from the Deep","Shout Factory",US,826663200256,0826663200256,July 30 2019,0,SteelBook,0,1,0,0,,0,,,,
"The Hunt for Red October 4K","Paramount Pictures",AU,,9317731148781,November 7 2018,0,Standard Blu-ray case,0,2,0,0,,0,,,,
"I Bury the Living","Shout Factory",US,826663174748,0826663174748,April 25 2017,0,Standard Blu-ray case,0,1,0,0,,0,,,,
"I Drink Your Blood","Gryphon Entertainment",AU,,9341005007856,January 18 2017,0,Standard Blu-ray case,0,2,0,0,April 25 2018,0,,,,
"I Spit on Your Grave 4K","Ronin Flix",US,787790716693,0787790716693,October 26 2021,1,Standard Blu-ray case,0,3,0,0,,0,,,,
"Images","Arrow",UK,,5027035018782,March 19 2018,0,Standard Blu-ray case,0,1,0,0,,0,,,,
"In the Aftermath","Code Red",US,,,February 7 2017,0,Standard Blu-ray case,0,1,0,0,,0,,,,
"In the Eye of the Hurricane","88 Films",UK,,5060496451453,November 6 2017,1,Standard Blu-ray case,1,1,0,0,,0,,,,
"In the Realm of the Senses / Empire of Passion","Umbrella Entertainment",AU,,9344256024580,March 9 2022,1,Standard Blu-ray case,0,1,0,0,,0,,,,
"The Incredible Melting Man","Arrow",UK,,5027035011776,October 13 2014,0,Standard Blu-ray case,0,1,1,0,,0,,,,
"The Incredibly Strange Films of Ray Dennis Steckler","Severin Films",US,760137108184,0760137108184,October 25 2022,0,Custom,0,10,0,0,,0,,,,
"Inferno of Torture","Arrow",UK,,5027035021737,July 6 2020,0,Standard Blu-ray case,0,1,0,0,,0,,,,
"The Initiation","Arrow",UK,,5027035015507,November 7 2016,0,Standard Blu-ray case,0,1,1,0,,0,,,,
"Intruder","88 Films",UK,,5037899047132,January 16 2017,1,Standard Blu-ray case,0,1,0,0,,0,,,,
"Invasion of the Body Snatchers 4K","Kino Lorber",US,738329256326,0738329256326,November 23 2021,1,Standard Blu-ray case,0,2,0,0,,0,,,,
"Invasion U.S.A.","88 Films",UK,,5060103796984,July 11 2016,1,Standard Blu-ray case,1,1,0,0,,0,,,,
"Invisible Ghost","Kino Lorber",US,738329211363,0738329211363,March 21 2017,0,Standard Blu-ray case,0,1,0,0,,0,,,,
"The Invisible Man: Complete Legacy Collection","Universal Studios",US,191329065037,0191329065037,August 28 2018,0,Standard Blu-ray case,0,4,0,0,,0,,,,
"Irezumi","Arrow",UK,,5027035023151,June 21 2021,0,Standard Blu-ray case,0,1,0,0,,0,,,,
"Ironmaster","88 Films",UK,,5060103799220,April 10 2017,1,Standard Blu-ray case,1,1,1,0,,0,,,,
"The Island","Umbrella Entertainment",AU,,9344256007903,August 7 2013,0,Standard Blu-ray case,0,1,0,0,April 25 2018,0,,,,
"The Island of Dr. Moreau","Shock",AU,,5021456182930,January 4 2012,0,Standard Blu-ray case,0,1,0,0,,0,,,,
"It","Roadshow Entertainment",AU,,9398700035400,January 4 2017,0,Standard Blu-ray case,0,1,0,0,,0,,,,
"J.D.'s Revenge","Arrow",UK,,5027035017631,October 30 2017,0,Standard Blu-ray case,0,1,0,0,,0,,,,
"Jack the Ripper","Network",UK,,5027626806644,March 27 2017,0,Standard Blu-ray case,0,2,0,0,,0,,,,
"Jagged Edge","Umbrella Entertainment",AU,,9344256004773,June 6 2012,0,Standard Blu-ray case,0,1,0,0,,0,,,,
"Jaws","Universal Sony Pictures Home Entertainment",AU,,9317731091650,February 26 2013,0,Standard Blu-ray case,0,1,0,0,April 25 2018,0,,,,
"Jaws 2","Universal Sony Pictures Home Entertainment",AU,,9342457000235,June 2 2016,0,Standard Blu-ray case,0,1,0,0,April 25 2018,0,,,,
"Jaws 3","Universal Studios",AU,,9342457000242,June 2 2016,0,Standard Blu-ray case,0,1,0,0,April 25 2018,0,,,,
"Jaws: The Revenge","Universal Sony Pictures Home Entertainment",AU,,9342457000259,June 2 2016,0,Standard Blu-ray case,0,1,0,0,April 25 2018,0,,,,
"Jean Rollin: The Vampire Films","Redemption",US,738329126124,0738329126124,February 11 2014,-1,Standard Blu-ray case,0,4,0,0,,0,,,,
"Jekyll and Hyde... Together Again","Olive Films",US,887090126410,0887090126410,September 13 2016,0,Standard Blu-ray case,0,1,0,0,,0,,,,
"The Jerk","Shock",AU,,5021456212859,March 1 2017,0,Standard Blu-ray case,0,1,0,0,,0,,,,
"Johnny Got His Gun","Imprint",AU,,9337369029085,April 6 2022,0,Standard Blu-ray case,0,1,0,0,,0,,,,
"Jonathan Livingston Seagull","Imprint",AU,,9337369023120,October 28 2020,1,Standard Blu-ray case,0,1,0,0,,0,,,,
"Jungle Holocaust","Code Red",US,,,January 5 2019,1,Standard Blu-ray case,0,1,0,0,,0,,,,
"Just Before Dawn","88 Films",UK,,5060496451217,July 24 2017,1,Standard Blu-ray case,1,1,0,0,,0,,,,
"Kagemusha","20th Century Fox",AU,,9321337133218,October 26 2011,0,Standard Blu-ray case,0,1,-1,0,,0,,,,
"Kansas City","Arrow",UK,,5027035021522,March 2 2020,0,Standard Blu-ray case,0,1,0,0,,0,,,,
"Killer Klowns from Outer Space","Shock",AU,,9345228002728,February 4 2015,1,Standard Blu-ray case,0,1,0,0,April 25 2018,0,,,,
"Killer Nun","Arrow",US,760137296683,0760137296683,October 15 2019,0,Standard Blu-ray case,0,1,0,0,,0,,,,
"Killer's Moon","88 Films",UK,,5060710971385,August 29 2022,-1,Standard Blu-ray case,0,1,0,0,,0,,,,
"Killer's Moon","Redemption",US,738329090623,0738329090623,March 13 2012,0,Standard Blu-ray case,0,1,0,0,,0,,,,
"Killing Spree","Terror Vision",US,814456024318,0814456024318,January 25 2022,1,Standard Blu-ray case,0,1,0,0,,0,,,,
"King Kong","Studio Canal",AU,,5050582712186,July 29 2009,0,Standard Blu-ray case,0,1,0,0,,0,,,,
"King of New York","Umbrella Entertainment",AU,,9344256002199,July 1 2011,0,Standard Blu-ray case,0,1,0,0,,0,,,,
"King of New York 4K","Arrow",UK,,5027035022222,November 16 2020,1,Standard Blu-ray case,0,1,0,0,,0,,,,
"The Kinji Fukasaku Collection","Arrow",UK,,5027035023359,July 5 2021,0,Standard Blu-ray case,0,3,0,0,,0,,,,
"Klute","Criterion",US,715515232418,0715515232418,July 16 2019,0,Standard Blu-ray case,0,1,0,0,,0,,,,
"Kuroneko","Eureka Entertainment",UK,,5060000701944,July 20 2015,0,Standard Blu-ray case,0,1,1,0,,0,,,,
"Kwaidan","Eureka Entertainment",UK,,5060000703962,September 14 2020,0,Standard Blu-ray case,0,1,0,0,,0,,,,
"Labyrinth 4K","Universal Sony Pictures Home Entertainment",AU,,9317731125751,October 5 2016,0,Standard Blu-ray case,0,2,0,1,,0,,,,
"Land of the Dead","Universal Studios",AU,,5050582589474,November 5 2008,0,Standard Blu-ray case,0,1,0,0,,0,,,,
"The Land That Time Forgot","Umbrella Entertainment",AU,,9344256016684,December 6 2017,0,Standard Blu-ray case,0,1,0,0,,0,,,,
"Last Action Hero","Sony Pictures",AU,,9317731078279,August 18 2010,0,Standard Blu-ray case,0,1,0,0,,0,,,,
"Last Action Hero 4K","Sony Pictures",US,043396575615,0043396575615,June 15 2021,0,Standard Blu-ray case,0,2,0,1,,0,,,,
"The Last Emperor","Umbrella Entertainment",AU,,3000000077788,April 14 2010,0,Standard Blu-ray case,0,1,0,0,,0,,,,
"The Last House on the Left","Umbrella Entertainment",AU,,9344256008252,September 4 2013,0,Standard Blu-ray case,0,1,0,0,April 25 2018,0,,,,
"The Last Man on Earth","Shock",AU,,9345228003206,September 2 2015,1,Standard Blu-ray case,0,1,0,0,April 25 2018,0,,,,
"Laura","Eureka Entertainment",UK,,5060000703276,January 14 2019,0,Standard Blu-ray case,0,1,0,0,,0,,,,
"The Legacy","Powerhouse Films",UK,,5037899071953,July 29 2019,0,Standard Blu-ray case,0,1,0,0,,0,,,,
"Legacy of Satan / Blood","Code Red",US,,,August 24 2015,0,Standard Blu-ray case,0,1,0,0,,0,,,,
"The Legend of Boggy Creek","",US,888295965095,,January 30 2020,-1,Standard Blu-ray case,-1,1,1,-1,,0,,,,
"The Legend of Hell House","Shout Factory",US,826663151794,0826663151794,August 26 2014,0,Standard Blu-ray case,0,1,0,0,,0,,,,
"Legend of the Mountain","Eureka Entertainment",UK,,5060000702880,March 19 2018,0,Standard Blu-ray case,0,1,1,0,,0,,,,
"Lifeforce","Shock",AU,,9345228001493,November 20 2013,1,Standard Blu-ray case,0,1,0,0,April 25 2018,0,,,,
"Light Sleeper","Umbrella Entertainment",AU,,9344256017834,October 3 2018,0,Standard Blu-ray case,0,1,0,0,,0,,,,
"Lips of Blood","Redemption",US,738329086220,0738329086220,January 24 2012,0,Standard Blu-ray case,0,1,0,0,,0,,,,
"Lisa & The Devil / The House of Exorcism","Shock",AU,,,November 20 2013,1,Standard Blu-ray case,0,1,0,0,April 25 2018,0,,,,
"Little Shop of Horrors","Warner Bros.",AU,,9325336164433,October 31 2012,0,Standard Blu-ray case,0,1,0,0,,0,,,,
"Live Like a Cop, Die Like a Man","88 Films",UK,,5037899048337,October 5 2015,0,Standard Blu-ray case,1,1,0,0,,0,,,,
"The Living Dead at Manchester Morgue","Blue Underground",US,827058701297,0827058701297,October 27 2009,0,Standard Blu-ray case,0,1,0,0,,0,,,,
"The Living Dead Girl","Redemption",US,738329101725,0738329101725,August 28 2012,0,Standard Blu-ray case,0,1,0,0,,0,,,,
"Lock Up 4K","Universal Sony Pictures Home Entertainment",AU,,9317731155581,November 13 2019,0,Standard Blu-ray case,0,2,0,0,,0,,,,
"The Long Good Friday","Arrow",UK,,5027035019215,July 16 2018,0,Standard Blu-ray case,0,1,0,0,,0,,,,
"The Long Goodbye","Arrow",UK,,5027035010717,December 16 2013,0,Standard Blu-ray case,0,1,0,0,,0,,,,
"The Long Hair of Death","88 Films",UK,,5060103798827,July 24 2017,1,Standard Blu-ray case,0,1,0,0,,0,,,,
"The Lost Boys","Warner Bros.",AU,,9325336044629,December 3 2008,0,Standard Blu-ray case,0,1,0,0,,0,,,,
"Love & Death: The Films of Jörg Buttgereit","Arrow",UK,,5027035021560,October 12 2020,-1,Standard Blu-ray case,-1,4,-1,-1,,0,,,,
"Love at First Bite / Once Bitten","Shout Factory",US,826663156331,0826663156331,February 10 2015,0,Standard Blu-ray case,0,1,0,0,,0,,,,
"Lust for a Vampire","Shout Factory",US,826663200232,0826663200232,July 30 2019,0,Standard Blu-ray case,0,1,0,0,,0,,,,
"Luther the Geek","88 Films",UK,,5060496451262,September 11 2017,1,Standard Blu-ray case,1,1,0,0,,0,,,,
"Macumba Sexual","Severin Films",US,760137106869,0760137106869,November 28 2022,0,Standard Blu-ray case,0,1,0,0,,0,,,,
"Mad Dog Killer","88 Films",UK,,5060103799176,November 7 2016,1,Standard Blu-ray case,0,1,0,0,,0,,,,
"The Mad Fox","Arrow",UK,,5027035021652,June 22 2020,0,Standard Blu-ray case,0,1,0,0,,0,,,,
"Mad Max 2","Warner Bros.",AU,,9325336036112,August 8 2007,0,Standard Blu-ray case,0,1,0,0,,0,,,,
"Madhouse","Arrow",UK,,5027035016863,June 12 2017,0,Standard Blu-ray case,0,1,1,0,,0,,,,
"Madman","Vinegar Syndrome",US,855011004826,0855011004826,May 26 2015,0,Standard Blu-ray case,0,1,1,0,,0,,,,
"Madman 4K","Vinegar Syndrome",US,814456024394,0814456024394,April 26 2022,1,Standard Blu-ray case,0,2,0,0,,0,,,,
"A Man Called Horse","Paramount Pictures",AU,,9324915037601,August 4 2011,-1,Standard Blu-ray case,0,1,-1,0,,0,,,,
"The Man from Hong Kong","Umbrella Entertainment",AU,,9344256014253,October 26 2016,0,Standard Blu-ray case,0,1,0,0,,0,,,,
"The Man Who Fell to Earth","Studio Canal",AU,,9317731131769,March 1 2017,0,Standard Blu-ray case,0,1,0,0,,0,,,,
"Manhunter","Siren Visual Entertainment",AU,,9330080009152,December 17 2014,0,Standard Blu-ray case,0,1,0,0,,0,,,,
"Maniac","Shock",AU,,9345228001691,October 16 2013,1,Standard Blu-ray case,0,1,0,0,April 25 2018,0,,,,
"Maniac","Blue Underground",US,827058802192,0827058802192,December 11 2018,1,Standard Blu-ray case,0,2,0,0,,0,,,,
"Maniac Cop","Monster Pictures",AU,,9342424004372,November 20 2013,-1,Standard Blu-ray case,0,-1,-1,0,,0,,,,
"Manos: The Hands of Fate","Synapse Films",US,654930317495,0654930317495,October 13 2015,0,Standard Blu-ray case,0,1,0,0,,0,,,,
"Mansion of the Living Dead","Severin Films",US,760137106661,0760137106661,November 29 2022,0,Standard Blu-ray case,0,1,0,0,,0,,,,
"The Manster","Shout Factory",US,826663178876,0826663178876,August 29 2017,0,Standard Blu-ray case,0,1,0,0,,0,,,,
"Marathon Man","Paramount Pictures",AU,,9324915040571,July 31 2013,0,Standard Blu-ray case,0,1,0,0,,0,,,,
"Mardi Gras Massacre","Code Red",US,,,July 28 2016,0,Standard Blu-ray case,0,1,0,0,,0,,,,
"Mark of the Devil","Arrow",UK,,5027035011356,September 29 2014,0,Standard Blu-ray case,0,1,1,0,,0,,,,
"The Masque of the Red Death","Shock",AU,,9345228003213,September 2 2015,1,Standard Blu-ray case,0,1,0,0,April 25 2018,0,,,,
"Massacre in Dinosaur Valley","88 Films",UK,,5060103799190,March 13 2017,0,Standard Blu-ray case,0,1,0,0,,0,,,,
"Mausoleum","Vinegar Syndrome",US,814456021904,0814456021904,November 23 2018,1,Standard Blu-ray case,0,1,1,0,,0,,,,
"Meatcleaver Massacre","Shout Factory",US,826663220476,,March 29 2022,0,Standard Blu-ray case,0,1,0,0,,0,,,,
"The Medusa Touch","Imprint",AU,,9337369028071,December 8 2021,0,Standard Blu-ray case,0,1,0,0,,0,,,,
"Messenger of Death","88 Films",UK,,5060103797530,July 25 2016,0,Standard Blu-ray case,0,1,0,0,,0,,,,
"Messiah of Evil: The Second Coming","Code Red",US,,,October 27 2014,1,Standard Blu-ray case,0,1,0,0,,0,,,,
"Metamorphosis / Beyond Darkness","Shout Factory",US,826663160321,0826663160321,August 25 2015,0,Standard Blu-ray case,0,1,-1,0,,0,,,,
"Metropolis","Madman Entertainment",AU,,9322225090439,June 15 2011,1,Standard Blu-ray case,1,1,0,0,,0,,,,
"Midnight Cowboy","Criterion",US,715515215312,0715515215312,May 29 2018,0,Standard Blu-ray case,0,1,0,0,,0,,,,
"Mill of the Stone Women","Arrow",UK,,5027035023847,November 29 2021,0,Standard Blu-ray case,1,2,-1,0,,0,,,,
"The Mirror Crack'd","Universal Sony Pictures Home Entertainment",AU,,9317731137686,October 25 2017,0,Standard Blu-ray case,0,1,0,0,,0,,,,
"Miss Leslie's Dolls","Network",UK,,5027626817442,September 3 2018,0,Standard Blu-ray case,1,1,0,0,,0,,,,
"The Mission","Umbrella Entertainment",AU,,9344256001772,May 5 2011,0,Standard Blu-ray case,0,1,0,0,,0,,,,
"Mona Lisa","Arrow",UK,,5027035012773,July 6 2015,0,Standard Blu-ray case,1,1,0,0,,0,,,,
"The Monster Club","Network",UK,,5027626707248,August 18 2014,0,Standard Blu-ray case,0,1,0,0,,0,,,,
"Monty Python's The Meaning of Life","Universal Sony Pictures Home Entertainment",AU,,9317731097843,August 29 2013,0,Standard Blu-ray case,0,1,0,0,,0,,,,
"Motel Hell","Arrow",UK,,5027035009582,May 13 2013,0,Standard Blu-ray case,0,1,1,0,,0,,,,
"Mother's Day","Starz / Anchor Bay",US,013132555393,0790357946594,September 4 2012,0,Standard Blu-ray case,0,1,0,0,,0,,,,
"Mountaintop Motel Massacre","88 Films",UK,,5060103799251,September 25 2017,1,Standard Blu-ray case,0,1,0,0,,0,,,,
"Mr. Bean's Holiday / Bean: The Ultimate Disaster Movie","Universal Studios",AU,,5050582800012,November 3 2010,0,Standard Blu-ray case,0,2,0,0,,0,,,,
"Mulholland Drive","Studio Canal",AU,,9317731134227,August 16 2017,0,Standard Blu-ray case,0,1,0,0,,0,,,,
"The Mummy's Shroud","Shock",AU,792266042909,5021456192472,March 6 2013,0,Standard Blu-ray case,0,1,1,0,April 25 2018,0,,,,
"The Mummy: Complete Legacy Collection","Universal Sony Pictures Home Entertainment",AU,,9317731134005,May 17 2017,0,Standard Blu-ray case,0,4,0,0,April 25 2018,0,,,,
"Murder Obsession","RaroVideo U.S.",US,816018010357,0816018010357,May 8 2012,1,Standard Blu-ray case,0,1,0,0,,0,,,,
"Murder on the Orient Express","Studio Canal",AU,,9317731137624,October 25 2017,0,Standard Blu-ray case,0,1,0,0,,0,,,,
"Murder Rock","Scorpion Releasing",US,738329238841,0738329238841,July 16 2019,0,Standard Blu-ray case,0,1,0,0,,0,,,,
"Mutant","Code Red",US,853765005656,0853765005656,September 13 2016,0,Standard Blu-ray case,0,1,0,0,,0,,,,
"The Mutilator","Arrow",UK,,5027035013176,February 15 2016,1,Standard Blu-ray case,0,1,1,0,,0,,,,
"Nail Gun Massacre","88 Films",UK,,5037899064115,September 28 2015,0,Standard Blu-ray case,0,1,0,0,,0,,,,
"The Nanny","Shock",AU,,9345228002995,July 3 2015,0,Standard Blu-ray case,0,1,0,0,,0,,,,
"Nashville","Eureka Entertainment",UK,,5060000701340,June 16 2014,0,Standard Blu-ray case,0,1,2,0,,0,,,,
"The Nesting","Blue Underground",US,827058702997,0827058702997,June 28 2011,-1,Standard Blu-ray case,0,1,0,0,,0,,,,
"New Battles Without Honour and Humanity: The Complete Trilogy","Arrow",UK,,5027035023397,July 5 2021,0,Standard Blu-ray case,0,3,0,0,,0,,,,
"The New York Ripper","Blue Underground",US,827058802598,0827058802598,June 25 2019,1,Standard Blu-ray case,0,1,1,0,,0,,,,
"Next of Kin","Umbrella Entertainment",AU,,9344256017711,October 3 2018,0,Standard Blu-ray case,0,1,0,0,,0,,,,
"Night of the Creeps","Umbrella Entertainment",AU,,9344256013379,March 2 2016,0,Standard Blu-ray case,0,1,0,0,,0,,,,
"Night of the Demon","Powerhouse Films",UK,,5037899071236,October 22 2018,0,Standard Blu-ray case,1,2,0,0,January 12 2019,0,,,,
"Night of the Demons","Shout Factory",US,826663146295,0826663146295,February 4 2014,1,Standard Blu-ray case,0,1,1,0,,0,,,,
"Night of the Demons 2","88 Films",UK,,5060496452641,February 25 2019,1,Standard Blu-ray case,0,1,0,0,,0,,,,
"The Night of the Hunted","Redemption",US,738329113025,0738329113025,April 23 2013,0,Standard Blu-ray case,0,1,0,0,,0,,,,
"Night of the Living Dead 1968 & 1990","Umbrella Entertainment",AU,,9344256013768,April 6 2016,0,Standard Blu-ray case,0,2,0,0,April 25 2018,0,,,,
"The Night of the Sorcerers / The Loreley's Grasp","Shout Factory",US,826663177350,0826663177350,August 8 2017,0,Standard Blu-ray case,0,1,0,0,,0,,,,
"Night School","Warner Bros.",US,888574548391,0888574548391,October 24 2017,0,Standard Blu-ray case,0,1,0,0,,0,,,,
"Night Train Murders","88 Films",UK,,5037899048221,March 30 2015,0,Standard Blu-ray case,1,1,0,0,,0,,,,
"Nightbreed","Arrow",UK,,5027035021133,October 28 2019,0,Standard Blu-ray case,1,2,0,0,,0,,,,
"Nightmare City","Arrow",UK,,5027035012803,August 24 2015,0,Standard Blu-ray case,0,1,1,0,,0,,,,
"A Nightmare on Elm Street Collection","Warner Bros.",AU,,9398700044716,September 13 2017,0,Standard Blu-ray case,0,4,1,0,,0,,,,
"Nightmares","Umbrella Entertainment",AU,,9344256022838,August 4 2021,1,Standard Blu-ray case,0,1,0,0,,0,,,,
"Nightmares in a Damaged Brain","88 Films",UK,,5037899064153,November 30 2015,0,Standard Blu-ray case,0,1,0,0,,0,,,,
"Nightwing / Shadow of the Hawk","Mill Creek Entertainment",US,683904633354,0683904633354,October 16 2018,0,Standard Blu-ray case,0,1,0,0,,0,,,,
"Nomads","Shout Factory",US,826663160178,0826663160178,August 18 2015,0,Standard Blu-ray case,0,1,0,0,,0,,,,
"Nosferatu","BFI Video",UK,,5035673011577,November 23 2015,0,Standard Blu-ray case,0,1,0,0,,0,,,,
"Nosferatu","Eureka Entertainment",UK,,5060000701159,November 18 2013,0,Standard Blu-ray case,0,1,0,0,,0,,,,
"Nothing Underneath / Too Beautiful to Die","Vinegar Syndrome",US,814456023991,0814456023991,October 26 2021,1,Standard Blu-ray case,0,2,0,0,,0,,,,
"Oasis of the Zombies","Redemption",US,738329107529,0738329107529,February 26 2013,0,Standard Blu-ray case,0,1,0,0,,0,,,,
"The Oblong Box","Kino Lorber",US,738329177829,0738329177829,October 20 2015,0,Standard Blu-ray case,0,1,0,0,,0,,,,
"Obsession","Arrow",UK,,5027035010700,November 25 2013,0,Standard Blu-ray case,0,1,0,0,,0,,,,
"The Octagon","Reel",AU,,9397911266085,July 5 2012,0,Standard Blu-ray case,0,1,0,0,,0,,,,
"The Offence","Eureka Entertainment",UK,,5060000701517,April 20 2015,0,Standard Blu-ray case,0,1,1,0,,0,,,,
"The Oily Maniac","88 Films",UK,,5060496451224,July 24 2017,1,Standard Blu-ray case,0,1,0,0,,0,,,,
"The Old Dark House","Eureka Entertainment",UK,,5060000702927,May 21 2018,1,Standard Blu-ray case,0,1,1,0,,0,,,,
"The Omen Collection","20th Century Fox",AU,,9321337133331,October 26 2011,1,Standard Blu-ray case,0,3,0,0,,0,,,,
"Once Upon a Time in America","Warner Bros.",AU,,9325336113912,March 2 2011,0,Standard Blu-ray case,0,1,0,0,,0,,,,
"Once Upon a Time in Hollywood 4K","Universal Sony Pictures Home Entertainment",AU,,9317731152320,December 11 2019,0,Standard Blu-ray case,0,2,0,0,,0,,,,
"Once Upon a Time in the West","Paramount Pictures",AU,,9324915037021,August 4 2011,0,Standard Blu-ray case,0,1,0,0,,0,,,,
"One Million Years B.C.","Studio Canal",AU,,9317731137464,March 7 2018,0,Standard Blu-ray case,0,1,0,0,,0,,,,
"Onibaba","Eureka Entertainment",UK,,5060000700923,February 25 2013,0,Standard Blu-ray case,0,1,1,0,,0,,,,
"Orca","Umbrella Entertainment",AU,,9344256016691,December 6 2017,0,Standard Blu-ray case,0,1,0,0,,0,,,,
"Orgies of Edo","Arrow",UK,,5027035019918,November 19 2018,0,Standard Blu-ray case,0,1,0,0,,0,,,,
"The Other","Shock",AU,,9345228003091,June 3 2015,1,Standard Blu-ray case,0,1,0,0,April 25 2018,0,,,,
"The Other Hell","Severin Films",US,663390001738,0663390001738,April 11 2017,0,Standard Blu-ray case,0,1,0,0,,0,,,,
"Panic","Code Red",US,,,January 23 2018,-1,Standard Blu-ray case,0,1,0,0,,0,,,,
"The Parallax View","Imprint",AU,,9337369021041,December 29 2021,0,Standard Blu-ray case,0,1,0,0,,0,,,,
"Patrick","Umbrella Entertainment",AU,,9344256008481,October 2 2013,0,Standard Blu-ray case,1,1,0,0,April 25 2018,0,,,,
"Patrick Still Lives","Severin Films",US,663390004142,0663390004142,October 27 2020,1,Standard Blu-ray case,0,1,0,0,,0,,,,
"The Paul Naschy Collection","Shout Factory",US,826663176254,0826663176254,June 20 2017,0,Standard Blu-ray case,1,5,0,0,,0,,,,
"The Paul Naschy Collection II","Shout Factory",US,826663180831,0826663180831,November 14 2017,0,Standard Blu-ray case,0,5,0,0,,0,,,,
"Payback Time: Triple Feature","Mill Creek Entertainment",US,683904632760,0683904632760,May 16 2017,0,Standard Blu-ray case,0,1,0,0,,0,,,,
"The Pemini Organisation","Powerhouse Films",UK,,5060697920499,May 23 2022,0,Standard Blu-ray case,0,2,0,0,,0,,,,
"The People Who Own The Dark","Code Red",US,,,December 9 2015,0,Standard Blu-ray case,0,1,0,0,,0,,,,
"The Perfume of the Lady in Black","88 Films",UK,,5060103797646,June 26 2017,1,Standard Blu-ray case,1,1,0,0,,0,,,,
"The Pete Walker Collection","Redemption",US,738329108427,0738329108427,November 20 2012,1,Standard Blu-ray case,0,4,0,0,,0,,,,
"The Pete Walker Collection Volume 2","Redemption",US,738329170325,0738329170325,April 21 2015,0,Standard Blu-ray case,0,5,0,0,,0,,,,
"The Phantom from 10,000 Leagues","Kino Lorber",US,738329193720,0738329193720,January 5 2016,0,Standard Blu-ray case,0,1,0,0,,0,,,,
"Phantom of the Mall: Eric's Revenge","Arrow",UK,,5027035021843,November 22 2021,0,Standard Blu-ray case,1,1,0,0,,0,,,,
"The Phantom of the Opera","BFI Video",UK,,5035673011553,December 2 2013,0,Standard Blu-ray case,0,1,2,0,,0,,,,
"The Phantom of the Opera","Kino Lorber",US,738329201395,0738329201395,October 13 2015,0,Standard Blu-ray case,0,2,0,0,,0,,,,
"Phantom of the Paradise","Arrow",UK,502703501063,5027035010632,February 24 2014,0,Standard Blu-ray case,0,1,0,0,,0,,,,
"Phenomena","Arrow",UK,,5027035018362,January 15 2018,0,Standard Blu-ray case,0,1,0,0,,0,,,,
"Phenomena 4K","Arrow",UK,,5027035024127,February 28 2022,0,Standard Blu-ray case,1,2,0,0,,0,,,,
"Picnic at Hanging Rock","Umbrella Entertainment",AU,,3000000077108,April 12 2010,0,Standard Blu-ray case,0,1,0,0,,0,,,,
"Pieces","Arrow",UK,,5027035019123,May 7 2018,0,Standard Blu-ray case,0,1,0,0,,0,,,,
"Pigs","88 Films",UK,,5060496451514,October 9 2017,1,Standard Blu-ray case,0,1,0,0,,0,,,,
"Piranha","Shout Factory",US,826663199017,0826663199017,June 11 2019,0,SteelBook,0,1,0,0,,0,,,,
"The Pit and the Pendulum","88 Films",UK,,5037899047446,August 12 2013,0,Standard Blu-ray case,0,1,0,0,,0,,,,
"The Pit and the Pendulum","Arrow",UK,,5027035010922,May 19 2014,0,Standard Blu-ray case,0,1,0,0,,0,,,,
"Pitch Black","Universal Studios",AU,,5050582607130,June 18 2008,0,Standard Blu-ray case,0,1,0,0,,0,,,,
"The Plague of the Zombies","Shock",AU,,5021456191253,March 6 2013,0,Standard Blu-ray case,0,1,1,0,April 25 2018,0,,,,
"Planes, Trains & Automobiles","Paramount Pictures",AU,,9324915040854,July 31 2013,0,Standard Blu-ray case,0,1,0,0,,0,,,,
"Police Story & Police Story 2","Eureka Entertainment",UK,,5060000703016,August 20 2018,0,Standard Blu-ray case,0,2,0,0,,0,,,,
"Poltergeist","Warner Bros.",AU,,9325336044339,March 4 2009,0,Standard Blu-ray case,0,1,0,0,,0,,,,
"Poltergeist Double Pack","Metro-Goldwyn-Mayer",AU,,9321337122687,November 24 2010,0,Standard Blu-ray case,0,2,0,0,,0,,,,
"Popcorn","88 Films",UK,,5060496452498,October 8 2018,1,Standard Blu-ray case,0,1,0,0,,0,,,,
"Predator 4-Movie Collection","20th Century Fox",AU,,9321337185767,December 12 2018,0,Standard Blu-ray case,0,4,0,0,,0,,,,
"Pretty Poison","Shock",AU,,9345228002780,March 4 2015,1,Standard Blu-ray case,0,1,0,0,,0,,,,
"Prince of Darkness 4K","Universal Sony Pictures Home Entertainment",AU,,9317731150739,April 10 2019,0,Standard Blu-ray case,0,3,0,0,,0,,,,
"The Producers","Studio Canal",AU,,9317731145735,September 26 2018,0,Standard Blu-ray case,0,1,0,0,,0,,,,
"The Prowler","Umbrella Entertainment",AU,,9344256008542,October 2 2013,0,Standard Blu-ray case,0,1,0,0,April 25 2018,0,,,,
"Prozzie","88 Films",UK,,5060103796939,November 7 2016,0,Standard Blu-ray case,1,1,0,0,,0,,,,
